CONCEPT_CODE	PARENT_CODE	CONCEPT_NAME	PARENT_NAME	SOURCE_SYSTEM
UMLS:C0199470	UMLS:C1444343	Mechanical Ventilation	Respiratory Therapy Management	ACT
UMLS:C1547136	UFOCOVID:3	Inpatient (Critical Care)	Inpatient (Routine and/or Critical Care)	ACT
UMLS:C1547137	UFOCOVID:3	Inpatient (Routine)	Inpatient (Routine and/or Critical Care)	ACT
UMLS:C4534306	UMLS:C1444343	Supplemental Oxygen	Respiratory Therapy Management	ACT
VentAlarms	UMLS:C0199470	Vent Alarms	Mechanical Ventilation	UABCOVID19
VentilatorAlarmSettings	UMLS:C0199470	Ventilator Alarm Settings	Mechanical Ventilation	UABCOVID19
VentilatorManagement	UMLS:C0199470	Ventilator Management	Mechanical Ventilation	UABCOVID19
VentilatorManagement-ICU	UMLS:C0199470	Ventilator Management-ICU	Mechanical Ventilation	UABCOVID19
VentilatorManagement-ICU	UMLS:C1547136	Ventilator Management-ICU	Inpatient (Critical Care)	UABCOVID19
VentilatorMeasurements/Assessments	UMLS:C0199470	Ventilator Measurements/Assessments	Mechanical Ventilation	UABCOVID19
VentilatorSettings	UMLS:C0199470	Ventilator Settings	Mechanical Ventilation	UABCOVID19
VentilatorValues	UMLS:C0199470	Ventilator Values	Mechanical Ventilation	UABCOVID19
VentMode/Rate	UMLS:C0199470	Vent Mode/Rate	Mechanical Ventilation	UABCOVID19
Vitals	ACT_COVID_VITALS	Vitals	Vitals	UABCOVID19
VitalSigns	ACT_COVID_VITALS	Vital Signs	Vitals	UABCOVID19
VitalSigns(Pharmacy)	ACT_COVID_VITALS	Vital Signs (Pharmacy)	Vitals	UABCOVID19
VitalSigns(RNICUMD)	ACT_COVID_VITALS	Vital Signs (RNICU MD)	Vitals	UABCOVID19
VitalSigns(RNICUMD)	UMLS:C1547136	Vital Signs (RNICU MD)	Inpatient (Critical Care)	UABCOVID19
VitalSignsPhysician	ACT_COVID_VITALS	Vital Signs Physician	Vitals	UABCOVID19
